강원도 강릉시 초당동,현대,30000.0
강원도 동해시 동회동,현대5차,20300.0
강원도 속초시 교동,럭키설악2,19700.0
강원도 속초시 동명동,속초 THE-조은펠리스,27000.0
강원도 원주시 단계동,단계이안1단지,27500.0
강원도 원주시 단계동,단계이안1단지,26700.0
강원도 원주시 단계동,라이프타운,17400.0
강원도 원주시 단계동,라이프타운,21000.0
강원도 원주시 단계동,현대3차,15700.0
강원도 원주시 단계동,현대3차,17900.0
강원도 원주시 단구동,동보노빌리티타워골드,27900.0
강원도 원주시 명륜동,구곡청구1단지,18000.0
강원도 원주시 명륜동,대성현대,18300.0
강원도 원주시 명륜동,영진3,20000.0
강원도 원주시 명륜동,현대1,19500.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27450.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,30000.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,29000.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,29000.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,25430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,26430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,27330.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28430.0
강원도 원주시 문막읍 건등리,서원주코아루아너스,28530.0
강원도 원주시 반곡동,반곡벽산블루밍1차,30000.0
강원도 원주시 반곡동,원주반곡아이파크,30000.0
강원도 원주시 일산동,신진빌리지,16000.0
강원도 원주시 태장동,세인트파크아파트,22000.0
강원도 원주시 태장동,요진보네르카운티2차,25000.0
강원도 원주시 판부면 서곡리,원주더샵아파트,27500.0
강원도 원주시 행구동,건영,23000.0
강원도 원주시 행구동,행구금강아미움아파트,29500.0
강원도 원주시 행구동,효성백년가약,29800.0
강원도 춘천시 동면 만천리,춘천KCC스위첸,24500.0
강원도 춘천시 동면 만천리,춘천KCC스위첸,27000.0
강원도 춘천시 동면 만천리,한일유앤아이,25700.0
강원도 춘천시 동면 만천리,한일유앤아이,29000.0
강원도 춘천시 우두동,롯데인벤스,30000.0
강원도 춘천시 퇴계동,그린타운삼익코오롱,20500.0
강원도 춘천시 퇴계동,그린타운삼익코오롱,22100.0
강원도 춘천시 효자동,일성,18700.0
강원도 춘천시 후평동,동아,23000.0
강원도 춘천시 후평동,한신,14300.0
강원도 춘천시 후평동,한신,16700.0
